Country,Version,Language,Date,PDF
Afghanistan,First,English,23/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Afghanistan%20First/INDC_AFG_20150927_FINAL.pdf
Albania,First (Archived),English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Albania%20First/Albania%20First.pdf
Albania,First (Updated submission),English,12/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Albania%20First/Albania%20Revised%20NDC.pdf
Algeria,First,French,20/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Algeria%20First/Algérie%20-INDC-%2003%20septembre%202015.pdf
Algeria,First Translation,English,20/10/2016,"https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Algeria%20First/Algeria%20-%20INDC%20(English%20unofficial%20translation)%20September%2003,2015.pdf"
Andorra,First (Archived),French,24/03/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Andorra%20First/Andorra%20INDC-CPDN.pdf
Andorra,First (Updated submission),Spanish,20/05/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Andorra%20First/20200514-%20Actualització%20NDC.pdf
Angola,First (Archived),English,16/11/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Angola%20First/INDC%20Angola%20deposito.pdf
Angola,First (Updated submission),English,31/05/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Angola%20First/NDC%20Angola.pdf
Antigua and Barbuda,First (Archived),English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Antigua%20and%20Barbuda%20First/Antigua%20and%20Barbuda%20First.pdf
Antigua and Barbuda,First (Updated submission),English,02/09/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Antigua%20and%20Barbuda%20First/ATG%20-%20UNFCCC%20NDC%20-%202021-09-02%20-%20Final.pdf
Argentina,Second (Archived),Spanish,30/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Argentina%20Second/Argentina_Segunda%20Contribución%20Nacional.pdf
Argentina,Second (Updated submission),Spanish,02/11/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Argentina%20Second/Actualización%20meta%20de%20emisiones%202030.pdf
Argentina,First (Archived),Spanish,17/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Argentina%20First/17112016%20NDC%20Revisada%202016.pdf
Argentina,First(Archived),English,17/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Argentina%20First/Traducción%20NDC_Argentina.pdf
Armenia,First (Archived),English,23/03/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Armenia%20First/INDC-Armenia.pdf
Armenia,First (Updated submission),English,05/05/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Armenia%20First/NDC%20of%20Republic%20of%20Armenia%20%202021-2030.pdf
Australia,First (Archived),English,09/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Australia%20First/Australias%20Intended%20Nationally%20Determined%20Contribution%20to%20a%20new%20Climate%20Change%20Agreement%20-%20August%202015.pdf
Australia,First (Archived),English,31/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Australia%20First/Australia%20NDC%20recommunication%20FINAL.PDF
Australia,First (Updated submission),English,28/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Australia%20First/Australia%20Nationally%20Determined%20Contribution%20Update%20October%202021%20WEB.pdf
Azerbaijan,First,English,09/01/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Azerbaijan%20First/INDC%20Azerbaijan.pdf
Bahamas,First,English,31/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bahamas%20First/Bahamas_COP-22%20UNFCCC.pdf
Bahrain,First (Archived),English,30/12/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bahrain%20First/INDC_Kingdom_of_Bahrain.pdf
Bahrain,First (Updated submission),English,18/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bahrain%20First/NDC%20of%20the%20Kingdom%20of%20Bahrain%20under%20UNFCCC.pdf
Bangladesh,First (Archived),English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bangladesh%20First/INDC_2015_of_Bangladesh.pdf
Bangladesh,First (Interim-Updated submission),English,31/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bangladesh%20First/Updated_NDC_of_Bangladesh.pdf
Bangladesh,First (Updated submission),English,26/08/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bangladesh%20First/NDC_submission_20210826revised.pdf
Barbados,First (Archived),English,22/04/2016,"https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Barbados%20First/Barbados%20INDC%20FINAL%20September%20%2028,%202015.pdf"
Barbados,First (Updated submission),English,30/07/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Barbados%20First/2021%20Barbados%20NDC%20update%20-%2021%20July%202021.pdf
Belarus,First (Archived),Russian,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belarus%20First/Belarus_INDC_Rus_25.09.2015.pdf
Belarus,First (Updated submission),Russian,11/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belarus%20First/Belarus_NDC_Russian.pdf
Belarus,First (Archived),English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belarus%20First/Belarus_INDC_Eng_25.09.2015.pdf
Belarus,First (Updated submission),English,11/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belarus%20First/Belarus_NDC_English.pdf
Belarus,First (Updated submission),English,11/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belarus%20First/Belarus_Letter.pdf
Belize,First (Archived),English,20/04/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belize%20First/BELIZE%27s%20%20NDC.pdf
Belize,First (Updated submission),English,01/09/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belize%20First/Belize%20Updated%20NDC.pdf
Benin,First (Archived),French,11/10/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Benin%20First/CDN_BENIN_VERSION%20FINALE.pdf
Benin,First (Updated submission),French,12/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Benin%20First/CDN_ACTUALISEE_BENIN.pdf
Benin,First (Archived),English,09/09/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Benin%20First/CDN_BENIN_VERSION_ANGLAISE.pdf
Bhutan,Second,English,24/06/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bhutan%20Second/Second%20NDC%20Bhutan.pdf
Forward Note for submission of,Second,English,24/06/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bhutan%20Second/Forward%20Note.PDF
Bhutan,First (Archived),English,19/09/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bhutan%20First/Bhutan-INDC-20150930.pdf
Bolivia (Plurinational State of),First,Spanish,05/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bolivia%20(Plurinational%20State%20of)%20First/ESTADO%20PLURINACIONAL%20DE%20BOLIVIA1.pdf
Bolivia (Plurinational State of),First,English,05/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bolivia%20(Plurinational%20State%20of)%20First/INDC-Bolivia-english.pdf
Bosnia and Herzegovina,First (Updated submission),English,20/04/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bosnia%20and%20Herzegovina%20First/NDC%20BiH_November%202020%20FINAL%20DRAFT%2005%20Nov%20ENG%20LR.pdf
Bosnia and Herzegovina,First (Archived),English,16/03/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bosnia%20and%20Herzegovina%20First/INDC%20Bosnia%20and%20Herzegovina.pdf
Botswana,First,English,11/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Botswana%20First/BOTSWANA.pdf
Brazil,First (Archived),English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brazil%20First/BRAZIL%20iNDC%20english%20FINAL.pdf
Brazil,First (Updated submission),English,09/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brazil%20First/Brazil%20First%20NDC%20(Updated%20submission).pdf
Brazil,First (Updated submission-letter),English,31/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brazil%20First/2021%20-%20Carta%20MRE.pdf
Brunei Darussalam,First,English,31/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brunei%20Darussalam%20First/Brunei%20Darussalam%27s%20NDC%202020.pdf
Burkina Faso,First (Archived),French,11/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Burkina%20Faso%20First/INDC%20BURKINA%20FASO%20280915.pdf
Burkina Faso,First (Updated submission),French,09/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Burkina%20Faso%20First/Rapport%20CDN_BKFA.pdf
Burkina Faso,First (Archived),English,11/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Burkina%20Faso%20First/INDC%20Burkina_ENG.%20version_finale.pdf
Burundi,First (Archived),French,17/01/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Burundi%20First/CPDN%20BURUNDI.pdf
Burundi,First (Updated submission),French,05/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Burundi%20First/CDN%20%20%20Burundi%20ANNEXE%201.pdf
Burundi,First (Archived),English,17/01/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Burundi%20First/Burundi_INDC-english%20version.pdf
Cabo Verde,First(Archived),English,21/09/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cabo%20Verde%20First/Cabo_Verde_INDC_.pdf
Cabo Verde,First(Updated submission),English,02/04/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cabo%20Verde%20First/Cabo%20Verde_NDC%20Update%202021.pdf
Cambodia,First (Archived),English,06/02/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cambodia%20First/Cambodia%27s%20INDC%20to%20the%20UNFCCC.pdf
Cambodia,First (Updated submission),English,31/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cambodia%20First/20201231_NDC_Update_Cambodia.pdf
Cameroon,First (Archived),French,29/07/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cameroon%20First/CPDN%20CMR%20Final.pdf
Cameroon,First (Updated submission),French,11/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cameroon%20First/CDN%20révisée%20CMR%20finale%20sept%202021.pdf
Cameroon,First (Updated submission),French,11/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cameroon%20First/Lettre%20officielle%20CDN%20Cameroun%202021.pdf
Canada,First  (Archived),French,05/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Canada%20First/CPDN%20-%20Canada%20-%20Français.pdf
Canada,First  (Archived),English,05/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Canada%20First/INDC%20-%20Canada%20-%20English.pdf
Canada,First  (Archived),French,11/05/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Canada%20First/Première%20CDN%20du%20Canada%20-%20Soumission%20révisée%202017-05-11.pdf
Canada,First  (Archived),English,11/05/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Canada%20First/Canada%20First%20NDC-Revised%20submission%202017-05-11.pdf
Canada,First (updated submission),French,12/07/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Canada%20First/Canada%27s%20Enhanced%20NDC.pdf
Canada,First (updated submission),English,12/07/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Canada%20First/Canada%27s%20Enhanced%20NDC%20Submission1_FINAL%20EN.pdf
Central African Republic,First,French,11/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Central%20African%20Republic%20First/CPDN_République%20Centrafricaine.pdf
Central African Republic,First,English,11/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Central%20African%20Republic%20First/INDC_République%20Centrafricaine_EN.pdf
Chad,First (Archived),French,12/01/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chad%20First/CPDN%20TCHAD%20Version%20officielle%2028%20sept%202015.pdf
Chad,First (Updated submission),French,19/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chad%20First/CDN%20ACTUALISEE%20DU%20TCHAD.pdf
Chad,First (Archived),English,12/01/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chad%20First/INDC%20Chad_Official%20version_English.pdf
Chile,First (Archived),Spanish,10/02/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chile%20First/Chile%20INDC%20FINAL.pdf
Chile,First (Updated submission),Spanish,09/04/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chile%20First/NDC_Chile_2020_español.pdf
Chile,First (Updated submission),English,09/04/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chile%20First/Chile%27s_NDC_2020_english.pdf
Chile,First (Archived),English,10/02/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chile%20First/INDC%20Chile%20english%20version.pdf
China,First (Archived),English,03/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/China%27s%20First%20NDC%20Submission.pdf
China,First (Updated submission),Chinese,28/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/中国落实国家自主贡献成效和新目标新举措.pdf
China,First (Updated submission),English,28/10/2021,"https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/China’s%20Achievements,%20New%20Goals%20and%20New%20Measures%20for%20Nationally%20Determined%20Contributions.pdf"
China,First (Updated submission letter),Chinese,28/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/cover%20letter.pdf
Colombia,First (Archived),Spanish,12/07/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/INDC%20Colombia.pdf
Colombia,First (Updated submission),Spanish,30/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/NDC%20actualizada%20de%20Colombia.pdf
Colombia,First-Technical Annex (Updated submission),Spanish,30/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/Adjunto%201.%20Metas%20de%20adaptación_NDC%20de%20Colombia%202020.pdf
Colombia,First-Technical Annex (Updated submission),Spanish,30/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/Adjunto%202.%20%20Medidas%20de%20mitigación_NDC%20de%20Colombia%202020.pdf
Colombia,First (Archived),English,12/07/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/Colombia%20iNDC%20Unofficial%20translation%20Eng.pdf
Comoros,First,French,23/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Comoros%20First/INDC_Comores_Version_Francaise.pdf
Congo,First (Archived),French,21/04/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Congo%20First/NDC_Congo_RAPPORT.pdf
Congo,First (Updated submission),French,02/08/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Congo%20First/CDN_Congo.pdf
Cook Islands,First,English,01/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cook%20Islands%20First/Cook%20Islands%20INDCsFINAL7Nov.pdf
Costa Rica,First (Archived),Spanish,13/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/INDC%20Costa%20Rica%20Version%202%200%20final%20ES.pdf
Costa Rica,First (Updated submission),Spanish,11/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/NDC%20Costa%20Rica%202020%20-%20Contribución%20Nacionalmente%20Determinada%20de%20Costa%20Rica%202020%20-%20Metas%20titulares.pdf
Costa Rica,First (Updated submission),Spanish,29/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/Contribución%20Nacionalmente%20Determinada%20de%20Costa%20Rica%202020%20-%20Versión%20Completa.pdf
Costa Rica,First-English Translation (Archived),English,13/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/INDC%20Costa%20Rica%20Version%202%200%20final%20ENG.pdf
Cuba,First (Archived),Spanish,30/12/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cuba%20First/Republic%20of%20Cuba-NDCs-Nov2015.pdf
Cuba,First (Updated submission),Spanish,17/09/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cuba%20First/Cuban%20First%20NDC%20(Updated%20submission).pdf
Cuba,First Summary (Updated submission),English,17/09/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cuba%20First/Cuban%20First%20NDC%20Summary%20(Updated%20submission).pdf
Cuba,First (Updated submission),English,10/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cuba%20First/Cuban%20First%20NDC%20(Updated%20submission)1.pdf
Côte d'Ivoire,First,French,25/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Côte%20d%27Ivoire%20First/INDC_CI_22092015.pdf
Democratic People's Republic of Korea,First(Archived),English,03/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Democratic%20People%27s%20Republic%20of%20Korea%20First/DPRK-INDC%20by%202030.pdf
Democratic People's Republic of Korea,First (Updated submission),English,19/09/2019,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Democratic%20People%27s%20Republic%20of%20Korea%20First/2019.09.19_DPRK%20letter%20to%20SG%20special%20envoy%20for%20NDC.pdf
Democratic Republic of the Congo,First,French,13/12/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Democratic%20Republic%20of%20the%20Congo%20First/CPDN%20-%20Rép%20Dém%20du%20Congo.pdf
Djibouti,First,French,11/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Djibouti%20First/CPDN%20Djibouti_9%20-%20CPDN%20-%20Format%20pour%20soumission%20CCNUCC.pdf
Djibouti,First,English,11/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Djibouti%20First/INDC-Djibouti_ENG.pdf
Dominica,First,English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominica%20First/Commonwealth%20of%20Dominica-%20Intended%20Nationally%20Determined%20Contributions%20(INDC).pdf
Dominican Republic,First (Archived),Spanish,21/09/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominican%20Republic%20First/INDC-RD%20Agosto%202015%20(español).pdf
Dominican Republic,First (Updated submission),Spanish,29/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominican%20Republic%20First/Dominican%20Republic%20First%20NDC%20(Updated%20Submission).pdf
Dominican Republic,First (Archived),English,21/09/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominican%20Republic%20First/INDC-DR%20August%202015%20(unofficial%20translation).pdf
Ecuador,First,Spanish,29/03/2019,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ecuador%20First/Primera%20NDC%20Ecuador.pdf
Egypt,First,English,29/06/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Egypt%20First/Egyptian%20INDC.pdf
El Salvador,First (Archived),Spanish,27/03/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/El%20Salvador%20First/EL%20SALVADOR-INTENDED%20NATIONALLY%20DETERMINED%20CONTRIBUTION.pdf
El Salvador,First,Spanish,30/10/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/El%20Salvador%20First/EL%20SALVADOR-INTENDED%20NATIONALLY%20DETERMINED%20CONTRIBUTION%20B.pdf
Equatorial Guinea,First,Spanish,30/10/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Equatorial%20Guinea%20First/República%20de%20Guinea%20Ecuatorial_INDC.pdf
Eritrea,First,English,19/06/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Eritrea%20First/NRC%20Eritrea.pdf
Eswatini,First (Archived),English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Eswatini%20First/Eswatini%27s%20INDC.pdf
Eswatini,First (Updated submission),English,12/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Eswatini%20First/Eswatini%27s%20Revised%20NDC%2012%20Oct%202021.docx
Ethiopia,First (Archived),English,09/03/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ethiopia%20First/INDC-Ethiopia-100615.pdf
Ethiopia,First (Updated submission),English,23/07/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ethiopia%20First/Ethiopia%27s%20updated%20NDC%20JULY%202021%20Submission_.pdf
